El tamaño del palíndromo será de 3701

P; inicio 
01001001111110000000001100000110110000001100110010111100100010100110011110011110000100010100011010001100110111110010001011111000100101000001100111011110101111000011001011111101000100111011110001110001101101000100000010101111101011000001101001111101101011000110011010100100110111101000110100110111010010100101101000001000001110001011010011110110000101101111110100111010110110110010000011111010110011001101110011110101000101001110010100110100001010111000100100011000110101100010011110001001110011100001111111001001110010101100010111011101111100111010101001111000010010101011001100100010100011001100001100110010001010100011111000000001011001110100010100010101111110100001010101101010000001110110011001011100001100011010011101111000110010100111100111111110001000010001111000101111100100100100001001100011101001000100000011011110001100011000001000000101P10100000010000011000110001111011000000100010010111000110010000100100100111110100011110001000010001111111100111100101001100011110111001011000110000111010011001101110000001010110101010000101111110101000101000101110011010000000011111000101010001001100110000110011000101000100110011010101001000011110010101011100111110111011101000110101001110010011111110000111001110010001111001000110101100011000100100011101010000101100101001110010100010101111001110110011001101011111000001001101101101011100101111110110100001101111001011010001110000010000010110100101001011101100101100010111101100100101011001100011010110111110010110000011010111110101000000100010110110001110001111011100100010111111010011000011110101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
010010011111100000000011000001101100000011001100101111001000101001100111100111100001000101000110100011001101111100100010111110001001010000011001110111101011110000110010111111010001001110111100011100011011010001000000101011111010110000011010011111011010110001100110101001001101111010001101001101110100101001011010000010000011100010110100111101100001011011111101001110101101101100100000111110101100110011011100111101010001010011100101001101000010101110001001000110001101011000100111100010011100111000011111110010011100101011000101110111011111001110101010011110000100101010110011001000101000110011000011001100100010101000111110000000010110011101000101000101011111101000010101011010100000011101100110010111000011000110100111011110001100101001111001111111100010000100011110001011111001001001000010011000111010010001000000110111100011000110000010000001011P110100000010000011000110001111011000000100010010111000110010000100100100111110100011110001000010001111111100111100101001100011110111001011000110000111010011001101110000001010110101010000101111110101000101000101110011010000000011111000101010001001100110000110011000101000100110011010101001000011110010101011100111110111011101000110101001110010011111110000111001110010001111001000110101100011000100100011101010000101100101001110010100010101111001110110011001101011111000001001101101101011100101111110110100001101111001011010001110000010000010110100101001011101100101100010111101100100101011001100011010110111110010110000011010111110101000000100010110110001110001111011100100010111111010011000011110101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
0100100111111000000000110000011011000000110011001011110010001010011001111001111000010001010001101000110011011111001000101111100010010100000110011101111010111100001100101111110100010011101111000111000110110100010000001010111110101100000110100111110110101100011001101010010011011110100011010011011101001010010110100000100000111000101101001111011000010110111111010011101011011011001000001111101011001100110111001111010100010100111001010011010000101011100010010001100011010110001001111000100111001110000111111100100111001010110001011101110111110011101010100111100001001010101100110010001010001100110000110011001000101010001111100000000101100111010001010001010111111010000101010110101000000111011001100101110000110001101001110111100011001010011110011111111000100001000111100010111110010010010000100110001110100100010000001101111000110001100000100000010110P0110100000010000011000110001111011000000100010010111000110010000100100100111110100011110001000010001111111100111100101001100011110111001011000110000111010011001101110000001010110101010000101111110101000101000101110011010000000011111000101010001001100110000110011000101000100110011010101001000011110010101011100111110111011101000110101001110010011111110000111001110010001111001000110101100011000100100011101010000101100101001110010100010101111001110110011001101011111000001001101101101011100101111110110100001101111001011010001110000010000010110100101001011101100101100010111101100100101011001100011010110111110010110000011010111110101000000100010110110001110001111011100100010111111010011000011110101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
01001001111110000000001100000110110000001100110010111100100010100110011110011110000100010100011010001100110111110010001011111000100101000001100111011110101111000011001011111101000100111011110001110001101101000100000010101111101011000001101001111101101011000110011010100100110111101000110100110111010010100101101000001000001110001011010011110110000101101111110100111010110110110010000011111010110011001101110011110101000101001110010100110100001010111000100100011000110101100010011110001001110011100001111111001001110010101100010111011101111100111010101001111000010010101011001100100010100011001100001100110010001010100011111000000001011001110100010100010101111110100001010101101010000001110110011001011100001100011010011101111000110010100111100111111110001000010001111000101111100100100100001001100011101001000100000011011110001100011000001000000101101P10110100000010000011000110001111011000000100010010111000110010000100100100111110100011110001000010001111111100111100101001100011110111001011000110000111010011001101110000001010110101010000101111110101000101000101110011010000000011111000101010001001100110000110011000101000100110011010101001000011110010101011100111110111011101000110101001110010011111110000111001110010001111001000110101100011000100100011101010000101100101001110010100010101111001110110011001101011111000001001101101101011100101111110110100001101111001011010001110000010000010110100101001011101100101100010111101100100101011001100011010110111110010110000011010111110101000000100010110110001110001111011100100010111111010011000011110101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
010010011111100000000011000001101100000011001100101111001000101001100111100111100001000101000110100011001101111100100010111110001001010000011001110111101011110000110010111111010001001110111100011100011011010001000000101011111010110000011010011111011010110001100110101001001101111010001101001101110100101001011010000010000011100010110100111101100001011011111101001110101101101100100000111110101100110011011100111101010001010011100101001101000010101110001001000110001101011000100111100010011100111000011111110010011100101011000101110111011111001110101010011110000100101010110011001000101000110011000011001100100010101000111110000000010110011101000101000101011111101000010101011010100000011101100110010111000011000110100111011110001100101001111001111111100010000100011110001011111001001001000010011000111010010001000000110111100011000110000010000001011011P110110100000010000011000110001111011000000100010010111000110010000100100100111110100011110001000010001111111100111100101001100011110111001011000110000111010011001101110000001010110101010000101111110101000101000101110011010000000011111000101010001001100110000110011000101000100110011010101001000011110010101011100111110111011101000110101001110010011111110000111001110010001111001000110101100011000100100011101010000101100101001110010100010101111001110110011001101011111000001001101101101011100101111110110100001101111001011010001110000010000010110100101001011101100101100010111101100100101011001100011010110111110010110000011010111110101000000100010110110001110001111011100100010111111010011000011110101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
0100100111111000000000110000011011000000110011001011110010001010011001111001111000010001010001101000110011011111001000101111100010010100000110011101111010111100001100101111110100010011101111000111000110110100010000001010111110101100000110100111110110101100011001101010010011011110100011010011011101001010010110100000100000111000101101001111011000010110111111010011101011011011001000001111101011001100110111001111010100010100111001010011010000101011100010010001100011010110001001111000100111001110000111111100100111001010110001011101110111110011101010100111100001001010101100110010001010001100110000110011001000101010001111100000000101100111010001010001010111111010000101010110101000000111011001100101110000110001101001110111100011001010011110011111111000100001000111100010111110010010010000100110001110100100010000001101111000110001100000100000010110110P0110110100000010000011000110001111011000000100010010111000110010000100100100111110100011110001000010001111111100111100101001100011110111001011000110000111010011001101110000001010110101010000101111110101000101000101110011010000000011111000101010001001100110000110011000101000100110011010101001000011110010101011100111110111011101000110101001110010011111110000111001110010001111001000110101100011000100100011101010000101100101001110010100010101111001110110011001101011111000001001101101101011100101111110110100001101111001011010001110000010000010110100101001011101100101100010111101100100101011001100011010110111110010110000011010111110101000000100010110110001110001111011100100010111111010011000011110101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
01001001111110000000001100000110110000001100110010111100100010100110011110011110000100010100011010001100110111110010001011111000100101000001100111011110101111000011001011111101000100111011110001110001101101000100000010101111101011000001101001111101101011000110011010100100110111101000110100110111010010100101101000001000001110001011010011110110000101101111110100111010110110110010000011111010110011001101110011110101000101001110010100110100001010111000100100011000110101100010011110001001110011100001111111001001110010101100010111011101111100111010101001111000010010101011001100100010100011001100001100110010001010100011111000000001011001110100010100010101111110100001010101101010000001110110011001011100001100011010011101111000110010100111100111111110001000010001111000101111100100100100001001100011101001000100000011011110001100011000001000000101101100P00110110100000010000011000110001111011000000100010010111000110010000100100100111110100011110001000010001111111100111100101001100011110111001011000110000111010011001101110000001010110101010000101111110101000101000101110011010000000011111000101010001001100110000110011000101000100110011010101001000011110010101011100111110111011101000110101001110010011111110000111001110010001111001000110101100011000100100011101010000101100101001110010100010101111001110110011001101011111000001001101101101011100101111110110100001101111001011010001110000010000010110100101001011101100101100010111101100100101011001100011010110111110010110000011010111110101000000100010110110001110001111011100100010111111010011000011110101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
010010011111100000000011000001101100000011001100101111001000101001100111100111100001000101000110100011001101111100100010111110001001010000011001110111101011110000110010111111010001001110111100011100011011010001000000101011111010110000011010011111011010110001100110101001001101111010001101001101110100101001011010000010000011100010110100111101100001011011111101001110101101101100100000111110101100110011011100111101010001010011100101001101000010101110001001000110001101011000100111100010011100111000011111110010011100101011000101110111011111001110101010011110000100101010110011001000101000110011000011001100100010101000111110000000010110011101000101000101011111101000010101011010100000011101100110010111000011000110100111011110001100101001111001111111100010000100011110001011111001001001000010011000111010010001000000110111100011000110000010000001011011001P100110110100000010000011000110001111011000000100010010111000110010000100100100111110100011110001000010001111111100111100101001100011110111001011000110000111010011001101110000001010110101010000101111110101000101000101110011010000000011111000101010001001100110000110011000101000100110011010101001000011110010101011100111110111011101000110101001110010011111110000111001110010001111001000110101100011000100100011101010000101100101001110010100010101111001110110011001101011111000001001101101101011100101111110110100001101111001011010001110000010000010110100101001011101100101100010111101100100101011001100011010110111110010110000011010111110101000000100010110110001110001111011100100010111111010011000011110101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
0100100111111000000000110000011011000000110011001011110010001010011001111001111000010001010001101000110011011111001000101111100010010100000110011101111010111100001100101111110100010011101111000111000110110100010000001010111110101100000110100111110110101100011001101010010011011110100011010011011101001010010110100000100000111000101101001111011000010110111111010011101011011011001000001111101011001100110111001111010100010100111001010011010000101011100010010001100011010110001001111000100111001110000111111100100111001010110001011101110111110011101010100111100001001010101100110010001010001100110000110011001000101010001111100000000101100111010001010001010111111010000101010110101000000111011001100101110000110001101001110111100011001010011110011111111000100001000111100010111110010010010000100110001110100100010000001101111000110001100000100000010110110010P0100110110100000010000011000110001111011000000100010010111000110010000100100100111110100011110001000010001111111100111100101001100011110111001011000110000111010011001101110000001010110101010000101111110101000101000101110011010000000011111000101010001001100110000110011000101000100110011010101001000011110010101011100111110111011101000110101001110010011111110000111001110010001111001000110101100011000100100011101010000101100101001110010100010101111001110110011001101011111000001001101101101011100101111110110100001101111001011010001110000010000010110100101001011101100101100010111101100100101011001100011010110111110010110000011010111110101000000100010110110001110001111011100100010111111010011000011110101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
01001001111110000000001100000110110000001100110010111100100010100110011110011110000100010100011010001100110111110010001011111000100101000001100111011110101111000011001011111101000100111011110001110001101101000100000010101111101011000001101001111101101011000110011010100100110111101000110100110111010010100101101000001000001110001011010011110110000101101111110100111010110110110010000011111010110011001101110011110101000101001110010100110100001010111000100100011000110101100010011110001001110011100001111111001001110010101100010111011101111100111010101001111000010010101011001100100010100011001100001100110010001010100011111000000001011001110100010100010101111110100001010101101010000001110110011001011100001100011010011101111000110010100111100111111110001000010001111000101111100100100100001001100011101001000100000011011110001100011000001000000101101100100P00100110110100000010000011000110001111011000000100010010111000110010000100100100111110100011110001000010001111111100111100101001100011110111001011000110000111010011001101110000001010110101010000101111110101000101000101110011010000000011111000101010001001100110000110011000101000100110011010101001000011110010101011100111110111011101000110101001110010011111110000111001110010001111001000110101100011000100100011101010000101100101001110010100010101111001110110011001101011111000001001101101101011100101111110110100001101111001011010001110000010000010110100101001011101100101100010111101100100101011001100011010110111110010110000011010111110101000000100010110110001110001111011100100010111111010011000011110101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
010010011111100000000011000001101100000011001100101111001000101001100111100111100001000101000110100011001101111100100010111110001001010000011001110111101011110000110010111111010001001110111100011100011011010001000000101011111010110000011010011111011010110001100110101001001101111010001101001101110100101001011010000010000011100010110100111101100001011011111101001110101101101100100000111110101100110011011100111101010001010011100101001101000010101110001001000110001101011000100111100010011100111000011111110010011100101011000101110111011111001110101010011110000100101010110011001000101000110011000011001100100010101000111110000000010110011101000101000101011111101000010101011010100000011101100110010111000011000110100111011110001100101001111001111111100010000100011110001011111001001001000010011000111010010001000000110111100011000110000010000001011011001000P000100110110100000010000011000110001111011000000100010010111000110010000100100100111110100011110001000010001111111100111100101001100011110111001011000110000111010011001101110000001010110101010000101111110101000101000101110011010000000011111000101010001001100110000110011000101000100110011010101001000011110010101011100111110111011101000110101001110010011111110000111001110010001111001000110101100011000100100011101010000101100101001110010100010101111001110110011001101011111000001001101101101011100101111110110100001101111001011010001110000010000010110100101001011101100101100010111101100100101011001100011010110111110010110000011010111110101000000100010110110001110001111011100100010111111010011000011110101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
0100100111111000000000110000011011000000110011001011110010001010011001111001111000010001010001101000110011011111001000101111100010010100000110011101111010111100001100101111110100010011101111000111000110110100010000001010111110101100000110100111110110101100011001101010010011011110100011010011011101001010010110100000100000111000101101001111011000010110111111010011101011011011001000001111101011001100110111001111010100010100111001010011010000101011100010010001100011010110001001111000100111001110000111111100100111001010110001011101110111110011101010100111100001001010101100110010001010001100110000110011001000101010001111100000000101100111010001010001010111111010000101010110101000000111011001100101110000110001101001110111100011001010011110011111111000100001000111100010111110010010010000100110001110100100010000001101111000110001100000100000010110110010000P0000100110110100000010000011000110001111011000000100010010111000110010000100100100111110100011110001000010001111111100111100101001100011110111001011000110000111010011001101110000001010110101010000101111110101000101000101110011010000000011111000101010001001100110000110011000101000100110011010101001000011110010101011100111110111011101000110101001110010011111110000111001110010001111001000110101100011000100100011101010000101100101001110010100010101111001110110011001101011111000001001101101101011100101111110110100001101111001011010001110000010000010110100101001011101100101100010111101100100101011001100011010110111110010110000011010111110101000000100010110110001110001111011100100010111111010011000011110101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
01001001111110000000001100000110110000001100110010111100100010100110011110011110000100010100011010001100110111110010001011111000100101000001100111011110101111000011001011111101000100111011110001110001101101000100000010101111101011000001101001111101101011000110011010100100110111101000110100110111010010100101101000001000001110001011010011110110000101101111110100111010110110110010000011111010110011001101110011110101000101001110010100110100001010111000100100011000110101100010011110001001110011100001111111001001110010101100010111011101111100111010101001111000010010101011001100100010100011001100001100110010001010100011111000000001011001110100010100010101111110100001010101101010000001110110011001011100001100011010011101111000110010100111100111111110001000010001111000101111100100100100001001100011101001000100000011011110001100011000001000000101101100100001P10000100110110100000010000011000110001111011000000100010010111000110010000100100100111110100011110001000010001111111100111100101001100011110111001011000110000111010011001101110000001010110101010000101111110101000101000101110011010000000011111000101010001001100110000110011000101000100110011010101001000011110010101011100111110111011101000110101001110010011111110000111001110010001111001000110101100011000100100011101010000101100101001110010100010101111001110110011001101011111000001001101101101011100101111110110100001101111001011010001110000010000010110100101001011101100101100010111101100100101011001100011010110111110010110000011010111110101000000100010110110001110001111011100100010111111010011000011110101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
010010011111100000000011000001101100000011001100101111001000101001100111100111100001000101000110100011001101111100100010111110001001010000011001110111101011110000110010111111010001001110111100011100011011010001000000101011111010110000011010011111011010110001100110101001001101111010001101001101110100101001011010000010000011100010110100111101100001011011111101001110101101101100100000111110101100110011011100111101010001010011100101001101000010101110001001000110001101011000100111100010011100111000011111110010011100101011000101110111011111001110101010011110000100101010110011001000101000110011000011001100100010101000111110000000010110011101000101000101011111101000010101011010100000011101100110010111000011000110100111011110001100101001111001111111100010000100011110001011111001001001000010011000111010010001000000110111100011000110000010000001011011001000010P010000100110110100000010000011000110001111011000000100010010111000110010000100100100111110100011110001000010001111111100111100101001100011110111001011000110000111010011001101110000001010110101010000101111110101000101000101110011010000000011111000101010001001100110000110011000101000100110011010101001000011110010101011100111110111011101000110101001110010011111110000111001110010001111001000110101100011000100100011101010000101100101001110010100010101111001110110011001101011111000001001101101101011100101111110110100001101111001011010001110000010000010110100101001011101100101100010111101100100101011001100011010110111110010110000011010111110101000000100010110110001110001111011100100010111111010011000011110101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
0100100111111000000000110000011011000000110011001011110010001010011001111001111000010001010001101000110011011111001000101111100010010100000110011101111010111100001100101111110100010011101111000111000110110100010000001010111110101100000110100111110110101100011001101010010011011110100011010011011101001010010110100000100000111000101101001111011000010110111111010011101011011011001000001111101011001100110111001111010100010100111001010011010000101011100010010001100011010110001001111000100111001110000111111100100111001010110001011101110111110011101010100111100001001010101100110010001010001100110000110011001000101010001111100000000101100111010001010001010111111010000101010110101000000111011001100101110000110001101001110111100011001010011110011111111000100001000111100010111110010010010000100110001110100100010000001101111000110001100000100000010110110010000100P0010000100110110100000010000011000110001111011000000100010010111000110010000100100100111110100011110001000010001111111100111100101001100011110111001011000110000111010011001101110000001010110101010000101111110101000101000101110011010000000011111000101010001001100110000110011000101000100110011010101001000011110010101011100111110111011101000110101001110010011111110000111001110010001111001000110101100011000100100011101010000101100101001110010100010101111001110110011001101011111000001001101101101011100101111110110100001101111001011010001110000010000010110100101001011101100101100010111101100100101011001100011010110111110010110000011010111110101000000100010110110001110001111011100100010111111010011000011110101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
01001001111110000000001100000110110000001100110010111100100010100110011110011110000100010100011010001100110111110010001011111000100101000001100111011110101111000011001011111101000100111011110001110001101101000100000010101111101011000001101001111101101011000110011010100100110111101000110100110111010010100101101000001000001110001011010011110110000101101111110100111010110110110010000011111010110011001101110011110101000101001110010100110100001010111000100100011000110101100010011110001001110011100001111111001001110010101100010111011101111100111010101001111000010010101011001100100010100011001100001100110010001010100011111000000001011001110100010100010101111110100001010101101010000001110110011001011100001100011010011101111000110010100111100111111110001000010001111000101111100100100100001001100011101001000100000011011110001100011000001000000101101100100001001P10010000100110110100000010000011000110001111011000000100010010111000110010000100100100111110100011110001000010001111111100111100101001100011110111001011000110000111010011001101110000001010110101010000101111110101000101000101110011010000000011111000101010001001100110000110011000101000100110011010101001000011110010101011100111110111011101000110101001110010011111110000111001110010001111001000110101100011000100100011101010000101100101001110010100010101111001110110011001101011111000001001101101101011100101111110110100001101111001011010001110000010000010110100101001011101100101100010111101100100101011001100011010110111110010110000011010111110101000000100010110110001110001111011100100010111111010011000011110101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
010010011111100000000011000001101100000011001100101111001000101001100111100111100001000101000110100011001101111100100010111110001001010000011001110111101011110000110010111111010001001110111100011100011011010001000000101011111010110000011010011111011010110001100110101001001101111010001101001101110100101001011010000010000011100010110100111101100001011011111101001110101101101100100000111110101100110011011100111101010001010011100101001101000010101110001001000110001101011000100111100010011100111000011111110010011100101011000101110111011111001110101010011110000100101010110011001000101000110011000011001100100010101000111110000000010110011101000101000101011111101000010101011010100000011101100110010111000011000110100111011110001100101001111001111111100010000100011110001011111001001001000010011000111010010001000000110111100011000110000010000001011011001000010011P110010000100110110100000010000011000110001111011000000100010010111000110010000100100100111110100011110001000010001111111100111100101001100011110111001011000110000111010011001101110000001010110101010000101111110101000101000101110011010000000011111000101010001001100110000110011000101000100110011010101001000011110010101011100111110111011101000110101001110010011111110000111001110010001111001000110101100011000100100011101010000101100101001110010100010101111001110110011001101011111000001001101101101011100101111110110100001101111001011010001110000010000010110100101001011101100101100010111101100100101011001100011010110111110010110000011010111110101000000100010110110001110001111011100100010111111010011000011110101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
0100100111111000000000110000011011000000110011001011110010001010011001111001111000010001010001101000110011011111001000101111100010010100000110011101111010111100001100101111110100010011101111000111000110110100010000001010111110101100000110100111110110101100011001101010010011011110100011010011011101001010010110100000100000111000101101001111011000010110111111010011101011011011001000001111101011001100110111001111010100010100111001010011010000101011100010010001100011010110001001111000100111001110000111111100100111001010110001011101110111110011101010100111100001001010101100110010001010001100110000110011001000101010001111100000000101100111010001010001010111111010000101010110101000000111011001100101110000110001101001110111100011001010011110011111111000100001000111100010111110010010010000100110001110100100010000001101111000110001100000100000010110110010000100111P1110010000100110110100000010000011000110001111011000000100010010111000110010000100100100111110100011110001000010001111111100111100101001100011110111001011000110000111010011001101110000001010110101010000101111110101000101000101110011010000000011111000101010001001100110000110011000101000100110011010101001000011110010101011100111110111011101000110101001110010011111110000111001110010001111001000110101100011000100100011101010000101100101001110010100010101111001110110011001101011111000001001101101101011100101111110110100001101111001011010001110000010000010110100101001011101100101100010111101100100101011001100011010110111110010110000011010111110101000000100010110110001110001111011100100010111111010011000011110101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
01001001111110000000001100000110110000001100110010111100100010100110011110011110000100010100011010001100110111110010001011111000100101000001100111011110101111000011001011111101000100111011110001110001101101000100000010101111101011000001101001111101101011000110011010100100110111101000110100110111010010100101101000001000001110001011010011110110000101101111110100111010110110110010000011111010110011001101110011110101000101001110010100110100001010111000100100011000110101100010011110001001110011100001111111001001110010101100010111011101111100111010101001111000010010101011001100100010100011001100001100110010001010100011111000000001011001110100010100010101111110100001010101101010000001110110011001011100001100011010011101111000110010100111100111111110001000010001111000101111100100100100001001100011101001000100000011011110001100011000001000000101101100100001001110P01110010000100110110100000010000011000110001111011000000100010010111000110010000100100100111110100011110001000010001111111100111100101001100011110111001011000110000111010011001101110000001010110101010000101111110101000101000101110011010000000011111000101010001001100110000110011000101000100110011010101001000011110010101011100111110111011101000110101001110010011111110000111001110010001111001000110101100011000100100011101010000101100101001110010100010101111001110110011001101011111000001001101101101011100101111110110100001101111001011010001110000010000010110100101001011101100101100010111101100100101011001100011010110111110010110000011010111110101000000100010110110001110001111011100100010111111010011000011110101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
010010011111100000000011000001101100000011001100101111001000101001100111100111100001000101000110100011001101111100100010111110001001010000011001110111101011110000110010111111010001001110111100011100011011010001000000101011111010110000011010011111011010110001100110101001001101111010001101001101110100101001011010000010000011100010110100111101100001011011111101001110101101101100100000111110101100110011011100111101010001010011100101001101000010101110001001000110001101011000100111100010011100111000011111110010011100101011000101110111011111001110101010011110000100101010110011001000101000110011000011001100100010101000111110000000010110011101000101000101011111101000010101011010100000011101100110010111000011000110100111011110001100101001111001111111100010000100011110001011111001001001000010011000111010010001000000110111100011000110000010000001011011001000010011101P101110010000100110110100000010000011000110001111011000000100010010111000110010000100100100111110100011110001000010001111111100111100101001100011110111001011000110000111010011001101110000001010110101010000101111110101000101000101110011010000000011111000101010001001100110000110011000101000100110011010101001000011110010101011100111110111011101000110101001110010011111110000111001110010001111001000110101100011000100100011101010000101100101001110010100010101111001110110011001101011111000001001101101101011100101111110110100001101111001011010001110000010000010110100101001011101100101100010111101100100101011001100011010110111110010110000011010111110101000000100010110110001110001111011100100010111111010011000011110101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
0100100111111000000000110000011011000000110011001011110010001010011001111001111000010001010001101000110011011111001000101111100010010100000110011101111010111100001100101111110100010011101111000111000110110100010000001010111110101100000110100111110110101100011001101010010011011110100011010011011101001010010110100000100000111000101101001111011000010110111111010011101011011011001000001111101011001100110111001111010100010100111001010011010000101011100010010001100011010110001001111000100111001110000111111100100111001010110001011101110111110011101010100111100001001010101100110010001010001100110000110011001000101010001111100000000101100111010001010001010111111010000101010110101000000111011001100101110000110001101001110111100011001010011110011111111000100001000111100010111110010010010000100110001110100100010000001101111000110001100000100000010110110010000100111011P1101110010000100110110100000010000011000110001111011000000100010010111000110010000100100100111110100011110001000010001111111100111100101001100011110111001011000110000111010011001101110000001010110101010000101111110101000101000101110011010000000011111000101010001001100110000110011000101000100110011010101001000011110010101011100111110111011101000110101001110010011111110000111001110010001111001000110101100011000100100011101010000101100101001110010100010101111001110110011001101011111000001001101101101011100101111110110100001101111001011010001110000010000010110100101001011101100101100010111101100100101011001100011010110111110010110000011010111110101000000100010110110001110001111011100100010111111010011000011110101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
01001001111110000000001100000110110000001100110010111100100010100110011110011110000100010100011010001100110111110010001011111000100101000001100111011110101111000011001011111101000100111011110001110001101101000100000010101111101011000001101001111101101011000110011010100100110111101000110100110111010010100101101000001000001110001011010011110110000101101111110100111010110110110010000011111010110011001101110011110101000101001110010100110100001010111000100100011000110101100010011110001001110011100001111111001001110010101100010111011101111100111010101001111000010010101011001100100010100011001100001100110010001010100011111000000001011001110100010100010101111110100001010101101010000001110110011001011100001100011010011101111000110010100111100111111110001000010001111000101111100100100100001001100011101001000100000011011110001100011000001000000101101100100001001110111P11101110010000100110110100000010000011000110001111011000000100010010111000110010000100100100111110100011110001000010001111111100111100101001100011110111001011000110000111010011001101110000001010110101010000101111110101000101000101110011010000000011111000101010001001100110000110011000101000100110011010101001000011110010101011100111110111011101000110101001110010011111110000111001110010001111001000110101100011000100100011101010000101100101001110010100010101111001110110011001101011111000001001101101101011100101111110110100001101111001011010001110000010000010110100101001011101100101100010111101100100101011001100011010110111110010110000011010111110101000000100010110110001110001111011100100010111111010011000011110101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
010010011111100000000011000001101100000011001100101111001000101001100111100111100001000101000110100011001101111100100010111110001001010000011001110111101011110000110010111111010001001110111100011100011011010001000000101011111010110000011010011111011010110001100110101001001101111010001101001101110100101001011010000010000011100010110100111101100001011011111101001110101101101100100000111110101100110011011100111101010001010011100101001101000010101110001001000110001101011000100111100010011100111000011111110010011100101011000101110111011111001110101010011110000100101010110011001000101000110011000011001100100010101000111110000000010110011101000101000101011111101000010101011010100000011101100110010111000011000110100111011110001100101001111001111111100010000100011110001011111001001001000010011000111010010001000000110111100011000110000010000001011011001000010011101110P011101110010000100110110100000010000011000110001111011000000100010010111000110010000100100100111110100011110001000010001111111100111100101001100011110111001011000110000111010011001101110000001010110101010000101111110101000101000101110011010000000011111000101010001001100110000110011000101000100110011010101001000011110010101011100111110111011101000110101001110010011111110000111001110010001111001000110101100011000100100011101010000101100101001110010100010101111001110110011001101011111000001001101101101011100101111110110100001101111001011010001110000010000010110100101001011101100101100010111101100100101011001100011010110111110010110000011010111110101000000100010110110001110001111011100100010111111010011000011110101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
